bookID,memberID,checkoutDate,returnDate,reservation
1,1001,01/01/2024,10/01/2024,None
2,1002,05/01/2024,-,Reserved by 1010
3,1003,07/01/2024,20/01/2024,None
4,1004,10/01/2024,18/01/2024,None
5,1005,12/01/2024,25/01/2024,None
6,1006,15/01/2024,-,None
7,1007,18/01/2024,30/01/2024,None
8,1008,20/01/2024,28/01/2024,None
9,1009,22/01/2024,-,Reserved by 1020
10,1010,25/01/2024,05/02/2024,None
11,1011,01/02/2024,12/02/2024,None
12,1012,03/02/2024,-,None
13,1013,05/02/2024,18/02/2024,None
14,1014,07/02/2024,15/02/2024,None
15,1015,-,-,Reserved by 1030
16,1016,12/02/2024,25/02/2024,None
17,1017,15/02/2024,01/03/2024,None
18,1018,18/02/2024,-,None
19,1019,20/02/2024,05/03/2024,None
20,1020,22/02/2024,10/03/2024,None
1,1021,-,-,Reserved by 1041
2,1022,03/03/2024,15/03/2024,None
3,1023,-,-,Reserved by 1040
4,1024,07/03/2024,18/03/2024,None
5,1025,10/03/2024,22/03/2024,None
6,1026,12/03/2024,-,None
7,1027,15/03/2024,30/03/2024,None
8,1028,18/03/2024,02/04/2024,None
9,1029,20/03/2024,-,None
10,1030,22/03/2024,05/04/2024,None
11,1031,-,-,Reserved by 1050
12,1032,03/04/2024,18/04/2024,None
13,1033,05/04/2024,-,None
14,1034,07/04/2024,20/04/2024,None
15,1035,10/04/2024,25/04/2024,None
16,1036,12/04/2024,-,None
17,1037,15/04/2024,30/04/2024,None
18,1038,-,-,Reserved by 1060
19,1039,20/04/2024,05/05/2024,None
20,1040,22/04/2024,10/05/2024,None
1,1041,-,-,Reserved by 1070
2,1042,03/05/2024,15/05/2024,None
3,1043,05/05/2024,-,None
4,1044,07/05/2024,18/05/2024,None
5,1045,10/05/2024,25/05/2024,None
6,1046,12/05/2024,-,None
7,1047,15/05/2024,30/05/2024,None
8,1048,18/05/2024,-,None
9,1049,20/05/2024,05/06/2024,None
10,1050,-,-,Reserved by 1070
99,9999,26/12/2025,26/12/2025,None
